latitud,provincia,altitud,idema,nombre,indsinop,longitud
394924N,ILLES BALEARS,490,B013X,"ESCORCA, LLUC",08304,025309E
394744N,ILLES BALEARS,5,B051A,"SÓLLER, PUERTO",08316,024129E
394121N,ILLES BALEARS,60,B087X,BANYALBUFAR,,023046E
393445N,ILLES BALEARS,52,B103B,ANDRATX - SANT ELM,99103,022208E
393305N,ILLES BALEARS,50,B158X,"CALVIÀ, ES CAPDELLÀ",,022759E
393319N,ILLES BALEARS,3,B228,"PALMA, PUERTO",08301,023731E
393832N,ILLES BALEARS,95,B236C,"PALMA, UNIVERSIDAD",,023837E
394406N,ILLES BALEARS,1030,B248,"SIERRA DE ALFABIA, BUNYOLA",08303,024247E
393621N,BALEARES,49,B275E,"SON BONET, AEROPUERTO",08302,024224E
393339N,ILLES BALEARS,8,B278,"PALMA DE MALLORCA, AEROPUERTO",08306,024412E
392247N,ILLES BALEARS,113,B301,"LLUCMAJOR, CAP BLANC",08308,024706E
392944N,ILLES BALEARS,140,B334X,LLUCMAJOR,,025330E
393022N,BALEARES,149,B341X,PORRERES,,030020E
393118N,ILLES BALEARS,120,B346X,PORRERES,08310,030109E
392421N,ILLES BALEARS,40,B362X,"CAMPOS, CAN SION",,030351E
392104N,ILLES BALEARS,3,B373X,"CAMPOS, SALINES LLEVANT",,030043E
390808N,ILLES BALEARS,165,B398A,"CABRERA, PARQUE NACIONAL DE CABRERA",,025612E
392024N,ILLES BALEARS,45,B410B,SANTANYÍ,,030845E
392452N,ILLES BALEARS,17,B434X,PORTOCOLOM  ,08309,031618E
393749N,ILLES BALEARS,25,B496X,SON SERVERA,,032301E
394119N,ILLES BALEARS,110,B526X,ARTÀ,,032104E
394300N,ILLES BALEARS,57,B569X,CAPDEPERA,08311,032841E
394323N,ILLES BALEARS,99,B603X,ARTÀ-COLÒNIA DE SANT PERE,,031643E
394748N,ILLES BALEARS,2,B605X,"MURO, S'ALBUFERA",,030617E
393325N,ILLES BALEARS,95,B614E,MANACOR,,031304E
393659N,ILLES BALEARS,95,B640X,PETRA,,030716E
393836N,ILLES BALEARS,120,B644B,SINEU,,030008E
393909N,ILLES BALEARS,121,B656A,SANTA MARÍA DEL CAMÍ,,024801E
394041N,ILLES BALEARS,105,B662X,BINISSALEM,,025226E
394734N,ILLES BALEARS,842,B684A,"ESCORCA, SON TORRELLA",,024716E
394454N,BALEARES,40,B691,LA PUEBLA (SA CANOVA),,030055E
394457N,ILLES BALEARS,40,B691Y,SA POBLA,08312,030100E
395237N,ILLES BALEARS,35,B760X,POLLENÇA,,030127E
395434N,ILLES BALEARS,2,B780X,PORT DE POLLENÇA,,030601E
395234N,ILLES BALEARS,78,B800X,"LA MOLA, MAÓ",,041926E
395926N,ILLES BALEARS,80,B825B,ES MERCADAL,,040511E
395934N,ILLES BALEARS,20,B860X,CIUTADELLA,,035114E
395641N,ILLES BALEARS,43,B870C,"CIUTADELLA, CALA GALDANA",,035724E
395117N,ILLES BALEARS,91,B893,"MENORCA, AEROPUERTO",08314,041256E
390322N,ILLES BALEARS,110,B908X,SANT JOAN DE LABRITJA,,012933E
385747N,ILLES BALEARS,32,B925,SANT ANTONI DE PORTMANY,,011917E
385235N,ILLES BALEARS,6,B954,"IBIZA, AEROPUERTO",08373,012304E
385521N,ILLES BALEARS,3,B957,EIVISSA,,012629E
384137N,ILLES BALEARS,24,B986,FORMENTERA,,012749E
285806N,LAS PALMAS,376,C018J,TÍAS,,134129W
285127N,LAS PALMAS,6,C019V,YAIZA,,135010W
285707N,LAS PALMAS,14,C029O,LANZAROTE AEROPUERTO,60040,133601W
290837N,LAS PALMAS,277,C038N,HARÍA,,132921W
290233N,LAS PALMAS,275,C048W,TINAJO,,134051W
284521N,STA. CRUZ DE TENERIFE,2223,C101A,ROQUE DE LOS MUCHACHOS,,175343W
284539N,STA. CRUZ DE TENERIFE,684,C117A,PUNTAGORDA,,175908W
284029N,STA. CRUZ DE TENERIFE,733,C117Z,TIJARAFE,,175613W
283914N,STA. CRUZ DE TENERIFE,844,C126A,EL PASO,,175112W
282718N,STA. CRUZ DE TENERIFE,30,C129V,FUENCALIENTE,,175028W
